"Entity","Contact date","Contact type","Subject","Action of interest","City official(s)","Lobbyist(s)",
"Broadway Cab LLC","10/01/2015","Personal Meeting","Business Licenses","Taxi regulation","Blackwood, Jim","Stephen Kafoury",
"Broadway Cab LLC","10/02/2015","Personal Meeting","Business Licenses","taxi regulation","Alpert, Josh","Stephen Kafoury",
"Broadway Cab LLC","10/05/2015","Personal Meeting","Business Licenses","taxi regulation","Novick, Steve","Stephen Kafoury",
"Broadway Cab LLC","10/04/2015","Personal Meeting","Business Licenses","taxi regulation","Adamsick, Claire","Stephen Kafoury",
"Broadway Cab LLC","10/07/2015","Email","Business Licenses","taxi regulation","Novick, Steve","Stephen Kafoury",
"Broadway Cab LLC","10/20/2015","Personal Meeting","Business Licenses","taxi regulation","Hockaday Bryan","Stephen Kafoury",
"Broadway Cab LLC","10/20/2015","Personal Meeting","Business Licenses","taxi regulation","Dingfelder, Jackie","Stephen Kafoury",
"Broadway Cab LLC","10/21/2015","Email","Business Licenses","taxi regulation","Dunphy, Jamie","Stephen Kafoury",
"Broadway Cab LLC","10/23/2015","Email","Business Licenses","taxi regulation","Adamsick, Claire","Stephen Kafoury",
"Broadway Cab LLC","10/21/2015","Email","Business Licenses","taxi regulation","Alpert, Josh","Stephen Kafoury",
"Broadway Cab LLC","10/26/2015","Email","Business Licenses","taxi regulation","Grumm, Matthew","Stephen Kafoury",
"Broadway Cab LLC","10/29/2015","Personal Meeting","Business Licenses","taxi regulation","Grumm, Matthew","Stephen Kafoury",
"Broadway Cab LLC","10/29/2015","Email","Business Licenses","taxi regulation","Alpert, Josh","Stephen Kafoury",
"Broadway Cab LLC","10/29/2015","Email","Business Licenses","taxi regulation","Adamsick, Claire","Stephen Kafoury",
"Broadway Cab LLC","10/29/2015","Email","Business Licenses","taxi regulation","Grumm, Matthew","Stephen Kafoury",
"Broadway Cab LLC","11/03/2015","Personal Meeting","Business Licenses","taxi regulation","Finn, Brendan","Stephen Kafoury",
"Broadway Cab LLC","11/03/2015","Personal Meeting","Business Licenses","taxi regulation","Alpert, Josh","Stephen Kafoury",
"Broadway Cab LLC","11/04/2015","Email","Business Licenses","taxi regulation","Dunphy, Jamie","Stephen Kafoury",
"Broadway Cab LLC","11/05/2015","Committee Meeting","Business Licenses","taxi regulation","Hales, Charlie","Stephen Kafoury",
"Broadway Cab LLC","11/09/2015","Telephone","Business Licenses","taxi regulation","Adamsick, Claire","Stephen Kafoury",
"Broadway Cab LLC","11/06/2015","Personal Meeting","Business Licenses","taxi regulation","Adamsick, Claire","Stephen Kafoury",
"Broadway Cab LLC","11/20/2015","Personal Meeting","Business Licenses","taxi regulation","Fish, Nick","Stephen Kafoury",
"Broadway Cab LLC","11/23/2015","Personal Meeting","Business Licenses","taxi regulation","Hales, Charlie","Stephen Kafoury",
"Broadway Cab LLC","11/24/2015","Committee Meeting","Business Licenses","taxi regulation","Hales, Charlie","Stephen Kafoury",
"Broadway Cab LLC","11/23/2015","Email","Business Licenses","taxi regulation","Alpert, Josh","Stephen Kafoury",
"Broadway Cab LLC","11/24/2015","Personal Meeting","Business Licenses","taxi regulation","Dunphy, Jamie","Stephen Kafoury",
"Columbia Corridor Association","10/08/2015","Personal Meeting","Planning","New zoning designation for Riverside Golf and Country Club","Dingfelder, Jackie","Corky Collier",
"Columbia Corridor Association","10/09/2015","Personal Meeting","Environment: sewer/storm water","Joint projects between PBOT and BES","Jordan, Michael","Corky Collier",
"Columbia Corridor Association","10/15/2015","Committee Meeting","Transportation: streets, sidewalks and street lighting","PBOT Budget Advisory Committee","Treat, Leah","Corky Collier",
"Columbia Corridor Association","10/21/2015","Personal Meeting","Planning","Comp Plan changes for new parks in industrial areas.","Abbate, Mike","Corky Collier",
"Columbia Corridor Association","11/02/2015","Personal Meeting","Business and Economic Development","Tour of Vigor Industrial ","Novick, Steve","Corky Collier",
"Columbia Corridor Association","11/06/2015","Personal Meeting","Transportation: streets, sidewalks and street lighting","Discussion of PBOT membership with CCA","Treat, Leah","Corky Collier",
"Columbia Corridor Association","11/09/2015","Personal Meeting","Business and Economic Development","Mayor's Roundtable","Hales, Charlie","Corky Collier",
"Columbia Corridor Association","11/19/2015","Committee Meeting","Transportation: streets, sidewalks and street lighting","PBOT budget advisory committee","Treat, Leah","Corky Collier",
"Columbia Corridor Association","11/19/2015","Committee Meeting","Other","Campaign party","Novick, Steve","Corky Collier",
"Columbia Corridor Association","11/23/2015","Committee Meeting","Planning","Levee Ready Columbia meeting","Dingfelder, Jackie","Corky Collier",
"Columbia Corridor Association","12/01/2015","Personal Meeting","Other","social","Fish, Nick","Corky Collier",
"Columbia Corridor Association","12/17/2015","Committee Meeting","Transportation: streets, sidewalks and street lighting","PBOT budget advisory committee","Treat, Leah","Corky Collier",
"ESCO Corporation","11/17/2015","Personal Meeting","Planning","Discussed ESCO's need for zoning change as part of city's comprehensive plan process.","Dingfelder, Jackie","Christe White; Kevin Thomas; Shannon Huggins",
"ESCO Corporation","11/17/2015","Personal Meeting","Planning","Discussed ESCO's need for zoning change as part of city's comprehensive plan process.","Shriver, Katie; Warner, Chris","Christe White; Kevin Thomas; Shannon Huggins",
"ESCO Corporation","11/17/2015","Personal Meeting","Planning","Discussed ESCO's need for zoning change as part of city's comprehensive plan process.","Martin, Lyne; Saltzman, Dan","Christe White; Kevin Thomas; Shannon Huggins",
"ESCO Corporation","11/18/2015","Personal Meeting","Planning","Discussed ESCO's need for zoning change as part of city's comprehensive plan process.","Adamsick, Claire; Crail, Tim","Christe White; Kevin Thomas; Shannon Huggins",
"Lyft, Inc.","10/01/2015","Email","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan; Novick, Steve","Amy Ruiz; Andrea Lobato; Annabel Chang",
"Lyft, Inc.","10/02/2015","Personal Meeting","Transportation: streets, sidewalks and street lighting","TNC regulations","Dunphy, Jamie; Fish, Nick","Amy Ruiz; Annabel Chang",
"Lyft, Inc.","10/02/2015","Personal Meeting","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz; Annabel Chang",
"Lyft, Inc.","10/02/2015","Personal Meeting","Transportation: streets, sidewalks and street lighting","TNC regulations","Alpert, Josh","Amy Ruiz; Annabel Chang",
"Lyft, Inc.","10/02/2015","Personal Meeting","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","10/05/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","10/06/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","10/07/2015","Personal Meeting","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz; Tony Albert",
"Lyft, Inc.","10/07/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","10/08/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","10/09/2015","Email","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz; Annabel Chang; Tony Albert",
"Lyft, Inc.","10/12/2015","Email","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","10/12/2015","Email","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","10/12/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","10/13/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","10/14/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","10/14/2015","Text Message","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","10/15/2015","Telephone","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz",
"Lyft, Inc.","10/16/2015","Email","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz; Andrea Lobato; Annabel Chang; Tony Albert",
"Lyft, Inc.","10/16/2015","Email","Transportation: streets, sidewalks and street lighting","TNC regulations","Hockaday Bryan","Amy Ruiz; Annabel Chang",
