"Entity","Contact date","Contact end date","Contact type(s)","Subject","Action of interest","City official(s)","Lobbyist(s)",
"1000 Friends of Oregon","04/01/2026","06/30/2026","Indirect Lobbying","Water","Bull Run Water Filtration Plant","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Jenni Denekas",
"1000 Friends of Oregon","04/08/2026","","Personal Meeting","Water","Bull Run Water Treatment Plant","Angelita Morillo","Jenni Denekas",
"1000 Friends of Oregon","06/05/2026","","Personal Meeting","Housing and Community Development","accessible housing","Alan DeLaTorre","Cassie Wilson",
"350PDX","04/01/2026","06/30/2026","Committee Meeting; Communication Preparation; Email; Indirect Lobbying; Meeting Preparation; Personal Meeting; Social Media; Telephone; Text Message; Virtual Meeting","Environment: natural","PCEF and Moda Center","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Keith Wilson; Loretta Smith; Maria Sipin; Mitch Green; Olivia Clark; Sameer Kanal; Shaniqua Henry-Davis; Steve Novick; Tiffany Koyama Lane; Zach Ward","Cherice Bock",
"350PDX","04/01/2026","06/18/2026","Committee Meeting; Communication Preparation; Email; Indirect Lobbying; Meeting Preparation; Personal Meeting; Social Media; Telephone; Text Message; Virtual Meeting","Environment: natural","Budget and appropriate use of PCEF; CEI hub; Sustainability Office","Angelita Morillo; Candace Avalos; Dan Ryan; Devin Mullins; Elana Pirtle-Guiney; Eric Zimmerman; Faisal Osman; Jamie Dunphy; Keith Wilson; Loretta Smith; Maria Sipin; Mitch Green; Olivia Clark; Sameer Kanal; Shaniqua Henry-Davis; Steve Novick; Suzy Deuster; Tiffany Koyama Lane; Zach Ward","Cherice Bock; Dineen Crowe; Noelle Studer-Spevak",
"350PDX","04/01/2026","06/30/2026","Committee Meeting; Email; Indirect Lobbying; Meeting Preparation; Personal Meeting; Social Media; Virtual Meeting","Environment: natural","CEI Hub policy project","Angelita Morillo; Keith Wilson; Mitch Green","Cherice Bock; Dineen Crowe",
"350PDX","04/01/2026","06/30/2026","Communication Preparation; Email; Virtual Meeting","Environment: natural","No immunity for big oil companies","Steve Novick; Zach Ward","Cherice Bock",
"350PDX","04/01/2026","04/29/2026","Committee Meeting; Communication Preparation; Email","Transportation: streets, sidewalks and street lighting","Transportation Utility Fee","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Cherice Bock",
"350PDX","04/20/2026","06/30/2026","Communication Preparation; Email; Meeting Preparation; Personal Meeting; Text Message","Environment: natural","Superfund Surcharge and other issues related to the Portland Harbor Superfund","Angelita Morillo; Elana Pirtle-Guiney; Sameer Kanal; Shaniqua Henry-Davis; Suzy Deuster","Cherice Bock",
"ACLU of Oregon, Inc.","04/01/2026","","Email; Goodwill Building (non-lobbying); Meeting Preparation; Telephone; Text Message; Virtual Meeting","Other: democracy, civil liberties, civil rights","Providing updates on democracy, civil liberties, civil rights matters including immigrant and refugee rights","Aisling Coghlan; Angelita Morillo; Brenda Alvarado; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Keith Wilson; Loretta Smith; Mitch Green; Olivia Clark; Raymond Lee; Robert Day; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Ethan Krow; Jessica Maravilla; Sandy Chung",
"ACLU of Oregon, Inc.","04/01/2026","","Communication Preparation; Email; Indirect Lobbying; Meeting Preparation; Personal Meeting; Telephone; Text Message; Virtual Meeting","Police and Public Safety","Supporting yes vote on ""Rights to Know Who's Policing You"" ordinance","Angelita Morillo; Daniel Lewkow; Devin Mullins; Elana Pirtle-Guiney; Eric Zimmerman; Jacq Tjaden; Lisa Freeman; Lorne Bulling; Mac Acuay; Sameer Kanal; Steve Novick","Ethan Krow; Jessica Maravilla; Mariana Garcia Medina; Michael Abrams; Sandy Chung",
"Albina Vision Trust","04/27/2026","06/30/2026","Email; Personal Meeting; Telephone; Text Message; Virtual Meeting","Business and Economic Development","Informing City Council and Mayor's office of organizational position on Moda Center Renovations.","Aisling Coghlan; Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Raihana Ansary ; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","JT Flowers",
"Albina Vision Trust, Inc.","04/27/2026","06/30/2026","Email; Personal Meeting; Telephone; Text Message; Virtual Meeting","Business and Economic Development","Informing the City Council and Mayor's office of organizational position on Moda Center Renovation","Aisling Coghlan; Angelita Morillo; Candace Avalos; Cornell Wesley; Dan Ryan; Donnie Oliveira; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Kristin Johnson; Loretta Smith; Mitch Green; Olivia Clark; Raihana Ansary ; Raymond Lee; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Cadence Petros; JT Flowers ; Winta Yohannes",
"Albina Vision Trust, Inc.","04/27/2026","06/26/2026","Personal Meeting","Business and Economic Development","D2 City Councilors Meeting","Dan Ryan; Elana Pirtle-Guiney; Sameer Kanal","Cadence Petros; JT Flowers ; Winta Yohannes",
"Albina Vision Trust, Inc.","06/04/2026","","Personal Meeting","Business and Economic Development","PBOT Support for PEC Acquistion ","Millicent Williams","Winta Yohannes",
"Braided River Campaign","04/08/2026","","Meeting Preparation","Environment: natural","CEI Hub and EOA","Elana Pirtle-Guiney","Marnie Glickman",
"Braided River Campaign","04/09/2026","","Personal Meeting","Environment: natural","CEI Hub and EOA","Elana Pirtle-Guiney","Marnie Glickman",
"Braided River Campaign","04/14/2026","","Virtual Meeting","Other: Environment and policing","CEI Hub and Right To Know Who Is Policing You","Lisa Freeman","Marnie Glickman",
"Braided River Campaign","04/17/2026","","Virtual Meeting","Environment: natural","CEI Hub and EOA","Maria Sipin","Marnie Glickman",
"Braided River Campaign","04/22/2026","","Personal Meeting","Environment: natural","North Reach River Plan","Eric Engstrom","Marnie Glickman",
"Braided River Campaign","04/28/2026","","Text Message","Environment: natural","Right To Know Who Is Policing You","Lisa Freeman","Marnie Glickman",
"Braided River Campaign","04/29/2026","","Meeting Preparation","Police and Public Safety","Right To Know Who Is Policiing You","Sameer Kanal","Marnie Glickman",
"Braided River Campaign","04/30/2026","","Committee Meeting","Police and Public Safety","Testified in front of full council on Right To Know Who Is Policing You measure","Angelita Morillo; Candace Avalos; Dan Ryan; Elana Pirtle-Guiney; Eric Zimmerman; Jamie Dunphy; Loretta Smith; Mitch Green; Olivia Clark; Sameer Kanal; Steve Novick; Tiffany Koyama Lane","Marnie Glickman",
"Braided River Campaign","05/05/2026","","Meeting Preparation","Environment: natural","CEI Hub","Olivia Clark","Marnie Glickman",
"Braided River Campaign","05/06/2026","","Meeting Preparation","Environment: natural","CEI Hub","Jamie Dunphy","Marnie Glickman",
"Braided River Campaign","05/06/2026","","Personal Meeting","Environment: natural","CEI Hub","Olivia Clark","Marnie Glickman",
"Braided River Campaign","05/07/2026","","Personal Meeting","Environment: natural","CEI Hub ","Jamie Dunphy","Marnie Glickman",
"Braided River Campaign","06/11/2026","","Meeting Preparation","Environment: natural","CEI Hub","Sameer Kanal","Marnie Glickman",
"Braided River Campaign","06/12/2026","","Virtual Meeting","Environment: natural","CEI Hub","Sameer Kanal","Marnie Glickman",
"Braided River Campaign","06/25/2026","","Text Message","Environment: natural","Scheduling CEI Hub meeting","Lisa Freeman","Marnie Glickman",
"Breach Collective","04/03/2026","","Telephone","Business and Economic Development","Moda Center Allocation","Suzy Deuster","Nicholas Caleb",
